Chaser Advantage = ,(Cadv) = 124,,,,,Event Weighting,,,,,,,,,,,,,,,,,,,
K-Factor (max Rating swing) = K = 42,,,,,,104 Chases in WCT 3,,100%,K = 64,Evade Ratio Global:,,Average Chase Time:,,,,,,,,,,,,,
Expected Outcome E = ,1 / (1+10^(Rating diff - Cadv)/S),,,,,98 Chases in Euros,,70%,K = 44.8,25.56%,Global Evade,13.27,,,,,,,,,,,,Evade Loss,Chases
E of Chaser + Evader = 1,,Points are preserved,,,,,,,,,,,,,,,,,,,,,,,
Scale of Skill S-> How large a skill difference of competitors is reflected by rating value = 256,,,,,,99 Chases in WCT 4,,100%,,,,,,,,,,,,,,,,,
New Rating =,Current R + K (Actual result - Expected Outcome),,,,,531 Chases in USA 2020,,70%,,,,,,,,,,,,,,,,,
,,,,,,267 Chases in WCT5 USA,,70%,,,,,,,,,,,,,,,,,
Chaser Win Chance (Y-axis) | Based on comparison of skill ratings (X- axis),,,,,,113 Chases in WCT5 UK,,70%,,,,,,,,,,,,,,,,,
,,,,,,511 Chases in WCT 5,,100%,,,,,,,,,,,,,,,,,
,,,,,,528 Chases in WCT 6 USA,,,,,,,,,,,,,,,,,,,
,,,,,,510 Chases in WCT 6 PanAm,,,,,,,,,,,,,,,,,,,
,,,,,,222 Chases in WCT 6 France,,,,,,,,,,,,,,,,,,,
,,,,,,485 Chases in WCT 6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,V1.0 all matches equal,,,,,,,,,,,,,,,,,,,
,,,,,,"V1.3 new Swing, maybe S and Cadv",,,,,,,,,,,,,,,,,,,
,,,,,,V1.6 Scale for event format and division,,,,,,,,,,,,,,,,,,,
,,,,,,V1.9 Soften evade losses with curve,,,,,,,,,,,,,,,,,,,
,,,,,,V1.99 Reflect on changes,,,,,,,,,,,,,,,,,,,
,,,,,,"V2.0 present stats, analyze rank changes",,,,,,,,,,,,,,,,,,,
,,,,,,"V3.0 Rebalance Variables, Multi-Evade bonus",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
-400,0.9911029959,0.5694082601,points on victory,,,,,,,,,,,,,,,,,,,,,Evade Loss,Chases
-395,0.9906975501,0.5953567926,,,,Softening Curve, = ln(t/9) + 0.2,,,,,,,,,,,,,,,,,,
-390,0.990273809,0.6224762226,,,,x,y,difference = n1-n0,,,,,,,,,,,,,,,,,
-385,0.989830964,0.6508183048,,,,0.5,-2.690371758,#VALUE!,,,,,,,,,,,,,,,,,
-380,0.9893681722,0.6804369811,,,,1,-1.997224577,0.6931471806,,,,,,,,,,,,,,,,,
-375,0.9888845553,0.7113884634,,,,2,-1.304077397,0.6931471806,,,,,,,,,,,,,,,,,
-370,0.9883791981,0.7437313193,,,,3,-0.8986122887,0.4054651081,,,,,,,,,,,,,,,,,
-365,0.9878511475,0.7775265589,,,,4,-0.6109302162,0.2876820725,,,,,,,,,,,,,,,,,
-360,0.9872994105,0.8128377251,,,,5,-0.3877866649,0.2231435513,,,,,,,,,,,,,,,,,
-355,0.9867229534,0.8497309852,,,,6,-0.2054651081,0.1823215568,,,,,,,,,,,,,,,,,
-350,0.9861206996,0.8882752246,,,,7,-0.05131442828,0.1541506798,,,,,,,,,,,,,,,,,
-345,0.985491529,0.9285421431,,,,8,0.08221696434,0.1335313926,,,,,,,,,,,,,,,,,
-340,0.9848342758,0.970606352,,,,9,0.2,0.1177830357,,,,,,,,,,,,,,,,,
-335,0.984147727,1.014545474,,,,10,0.3053605157,0.1053605157,,,,,,,,,,,,,,,,,
-330,0.9834306212,1.060440244,,,,11,0.4006706955,0.0953101798,,,,,,,,,,,,,,,,,
-325,0.9826816467,1.108374611,,,,12,0.4876820725,0.08701137699,,,,,,,,,,,,,,,,,
-320,0.98189944,1.158435842,,,,13,0.5677247801,0.08004270767,,,,,,,,,,,,,,,,,
-315,0.9810825839,1.21071463,,,,14,0.6418327523,0.07410797215,,,,,,,,,,,,,,,,,
-310,0.9802296064,1.26530519,,,,15,0.7108256238,0.06899287149,GOAL: ,,,,,,,,,,,,,,,,
-305,0.9793389785,1.322305377,,,,16,0.7753641449,0.06453852114,"Punish evader on short chases, reward evader on long chases",,,,,,,,,,,,,,,,
-300,0.9784091128,1.381816783,,,,17,0.8359887667,0.06062462182,,,,,,,,,,,,,,,,,
-295,0.9774383618,1.443944843,,,,18,0.8931471806,0.05715841384,,,,,,,,,,,,,,,,,
-290,0.9764250165,1.508798945,,,,19,0.9472144018,0.05406722127,,,,,,,,,,,,,,,,,
-285,0.9753673042,1.57649253,,,,20,0.9985076962,0.05129329439,,,,,,,,,,,,,,,,,
-280,0.9742633876,1.647143195,,,,,,,,,,,,,,,,,,,,,,,
-275,0.9731113627,1.72087279,,,,#words,,,,,,,,,,,,,,,,,,,
-270,0.9719092575,1.79780752,,,,Softening Curve:,,,,,,,,,,,,,,,,,,,
-265,0.9706550307,1.878078036,,,,"The Softening Curve is the first and primary method of adding granularity to the ratings while data points are few, without disrupting the overall positions of rankings too heavily.",,,,,,,,,,,,,,,,,,,
-260,0.96934657,1.961819522,,,,This is done by logarithmic curve based on the tag time when between 0 and 19.9 seconds. This curve is subtracted from the points earned by the chaser when they make a ,,,,,,,,,,,,,,,,,,,
-255,0.9679816909,2.049171782,,,,successful tag (therefore added to the evader's gain). This will vary rewards of different tags that have the same athlete ratings pitted against each other. There is a small reward,,,,,,,,,,,,,,,,,,,
-250,0.9665581357,2.140279317,,,,"for tagging quickly, and a small penalty for tagging slowly. As you can see by the Y values, these will realistically only affect points traded by +1 -> -1 points.",,,,,,,,,,,,,,,,,,,
-245,0.9650735719,2.235291398,,,,,,,,,,,,,,,,,,,,,,,
-240,0.9635255918,2.334362125,,,,,,,,,,,,,,,,,,,,,,,
-235,0.9619117111,2.437650488,,,,,,,,,,,,,,,,,,,,,,,
-230,0.9602293687,2.545320403,,,,Multi-Evasion Rating Protection:,,,,,,,,,,,,,,,,,,,
-225,0.9584759257,2.657540753,,,,"With per-chase rating updates, Evaders who score multiple evasions have their elo inflated, causing a large correction in favor of Chaser who inevitably gets the tag.",,,,,,,,,,,,,,,,,,,
-220,0.9566486656,2.774485402,,,,"To aid in correcting this, when chase result is a tag, we must reduce rating given to the Chaser. Their odds of success were higher than the rating comparison lets on.",,,,,,,,,,,,,,,,,,,
-215,0.9547447937,2.896333202,,,,"When the result is another consecutive evasion, often the evader (with their inflated rating) is getting a greatly diminished return for their point scored.",,,,,,,,,,,,,,,,,,,
-210,0.9527614377,3.023267985,,,,"Tag Odds increased 12% (with total chance capped at 96%) per opponent's evasions after the first, reducing rating gain upon successful tag, and increasing value of evasion.",,,,,,,,,,,,,,,,,,,
-205,0.9506956479,3.155478532,,,,,,,,,These numbers are slightly outdated at the moment,,,,,,,,,,,,,,
-200,0.948544398,3.293158528,,,,Rob Schihl Example:,,,,,,,Kyle Example:,,,,,,,,,,,,
-195,0.946304586,3.436506493,,,,Chaser,Evader,Time,Rating Change,Consecutive #,Score reduced (Chaser),,Chaser,Evader,Time,Rating Change,Consecutive #,Score reduced (Chaser),,,,,,,
-190,0.943973036,3.585725693,,,,Rob Schihl,Mark Bowles,6.1,18.96060343,0,,,Ben Spaloss,Kyle Soderman,20,-31.38296432,0,,,,,,,,
-185,0.9415464996,3.741024024,,,,Ashlee Johnson,Rob Schihl,20,-23.89100757,0,,,Mitch Bynitski,Kyle Soderman,20,-23.90931868,0,,,,,,,,
-180,0.9390216583,3.902613866,,,,Ethan Guzman,Rob Schihl,20,-31.92175549,1,12%,,Tegan Kelleher,Kyle Soderman,20,-25.3586473,1,,,,,,,,
-175,0.9363951263,4.070711917,,,,Wenxin Yang,Rob Schihl,20,-13.71253701,2,24%,,Gabriel Payne,Kyle Soderman,18,12.33886697,2,,,,,,,,
-170,0.9336634533,4.245538987,,,,Fank Mejia,Rob Schihl,5.2,19.40583657,3,36%,,,,,68.31206333,,,,,,,,,
-165,0.9308231287,4.427319762,,,,,,net,69.08006693,,,,Seth Rujiraviriyapinyo,Kyle Soderman,20,-25.00256096,0,,,,,,,,
-160,0.9278705854,4.616282532,,,,Rob Schihl,Ross Allen,9,5.83169085,0,,,Davis Vasconcellos,Kyle Soderman,8,21.46188224,1,,,,,,,,
-155,0.9248022049,4.812658885,,,,Cian O’Maitiu,Rob Schihl,20,-26.58652789,0,,,,,,3.540678726,,,,,,,,,
-150,0.9216143227,5.016683349,,,,Casey Wilson,Rob Schihl,20,-9.34077825,1,,,Kyle Soderman,Rich Rodriguez,13.2,9.746161069,0,,,,,,,,
-145,0.9183032342,5.228593009,,,,Elijah Muller,Rob Schihl,20,-9.772178836,2,,,Deyvid Garcia,Kyle Soderman,20,-28.85709544,0,,,,,,,,
-140,0.9148652022,5.448627061,,,,,,net,51.53117583,,,,Mike Araujo,Kyle Soderman,9.2,24.95806184,1,,,,,,,,
-135,0.9112964635,5.677026335,,,,Rob Schihl,Fernando Arce,7,2.381863901,0,,,,,,13.64519467,,,,,,,,,
-130,0.9075932382,5.914032756,,,,Luke Mizel,Rob Schihl,20,-10.88990834,0,,,Kyle Soderman,Casey Wilson,10.1,2.098582422,0,,,,,,,,
-125,0.9037517381,6.159888762,,,,Stephen McCarty,Rob Schihl,11,30.34746974,1,,,Alex Pawlus,Kyle Soderman,20,-27.13796126,0,,,,,,,,
-120,0.8997681771,6.414836668,,,,,,net,-17.07569749,,,,Ross Allen,Kyle Soderman,20,-25.40314712,1,,,,,,,,
-115,0.8956387817,6.679117974,,,,Rob Schihl,Mark Bowles,10,12.58303567,0,,,Cian O’Maitiu,Kyle Soderman,20,-22.22248945,2,,,,,,,,
-110,0.8913598028,6.952972618,,,,Wenxin Yang,Rob Schihl,20,-12.57663976,0,,,Elijah Muller,Kyle Soderman,20,-9.063742385,3,,,,,,,,
-105,0.8869275285,7.236638173,,,,Ethan Guzman,Rob Schihl,5,25.32533727,1,,,Dante Grazioli,Kyle Soderman,20,-13.05052259,4,,,,,,,,
-100,0.882338297,7.530348989,,,,,,net,-0.1656618343,,,,Casey Wilson,Kyle Soderman,20,-8.078464597,5,,,,,,,,
-95,0.8775885114,7.83433527,,,,Rob Schihl,Dale Smith,12,2.625908257,0,,,Alex Pawlus,Kyle Soderman,8.1,22.59457173,6,,,,,,,,
-90,0.8726746546,8.148822102,,,,Antonio Allen,Rob Schihl,20,-24.20104246,0,,,,,,84.4603381,,,,,,,,,
-85,0.8675933059,8.474028425,,,,Omar Zaki,Rob Schihl,20,-17.45769851,1,,,Joseph Rizzo,Kyle Soderman,20,-15.599924,0,,,,,,,,
-80,0.8623411572,8.810165937,,,,Justin Sweeney,Rob Schihl,18.1,31.56457911,2,,,Vincent Vinciguerra,Kyle Soderman,20,-8.723940141,1,,,,,,,,
